Country,Powerplant_Name,gppd_idnr,Capacity_MW,Latitude,Longitude,PrimaryFuel,Owner,Source
United States of America,Horse Butte Wind I  LLC,USA0057890,57.6,-34.8386,-111.7264,Wind,Utah Associated Mun Power Sys,U.S. Energy Information Administration
United States of America,Horse Creek Wind Farm,USA0060339,230,-34.8386,-99.54,Wind,Horse Creek Wind  LLC,U.S. Energy Information Administration
United States of America,Horse Hollow Wind Energy Center,USA0056291,735.5,-34.8386,-100.0571,Wind,FPL Energy Horse Hollow LLC,U.S. Energy Information Administration
United States of America,Horse Mesa,USA0000145,129.5,-34.8386,-111.344,Hydro,Salt River Project,U.S. Energy Information Administration
United States of America,Horseshoe Bend Hydroelectric Co,USA0054524,9.4,-34.8386,-116.2442,Hydro,Horseshoe Bend Hydroelectric Co,U.S. Energy Information Administration
United States of America,Horseshoe Bend Wind LLC,USA0057550,290,-34.8386,-120.0082,Wind,Caithness Shepherds Flat LLC,U.S. Energy Information Administration
United States of America,Horseshoe Bend Wind Park,USA0056591,9,-34.8386,-111.4392,Wind,Cycle Power Partners,U.S. Energy Information Administration
United States of America,Horseshoe Lake,USA0002951,947,-34.8386,-97.1797,Gas,Oklahoma Gas & Electric Co,U.S. Energy Information Administration
United States of America,Hot Spring Generating Facility,USA0055418,714.8,-34.8386,-92.8683,Gas,Entergy Arkansas Inc,U.S. Energy Information Administration
United States of America,Houghton,USA0060454,2.6,-34.8386,-78.1566,Solar,WGL Energy Systems  Inc,U.S. Energy Information Administration
United States of America,Houma,USA0001439,78.9,-34.8386,-90.7225,Gas,Terrebonne Parish Consol Gov't,U.S. Energy Information Administration
United States of America,Houston Chemical Complex Battleground,USA0050043,380.7,-34.8386,-95.0839,Gas,Oxy Vinyls LP,U.S. Energy Information Administration
United States of America,Houston Plant,USA0052065,7.5,-34.8386,-95.2706,Cogeneration,Eco Services Corp.,U.S. Energy Information Administration
United States of America,Houweling Nurseries,USA0058432,13.2,-34.8386,-119.0831,Gas,Houweling's Tomatoes,U.S. Energy Information Administration
United States of America,Howard Down,USA0002434,68.2,-34.8386,-75.0347,Gas,City of Vineland - NJ,U.S. Energy Information Administration
