Teacher_Name,University_Currently_Teaching,Department,Province_University_Located,Designation,Terminal_Degree,Graduated_from,Country,Year,Area_of_Specialization,Other_Information,
Kashif Munir,FAST-NU(Islamabad),Computer Science,Capital,Associate Professor,PhD,University of Innsbruck,Austria,2009,computer networks   high-performance computing and computer communications   performance evaluation (simulation and analytical modeling) of computer and communication systems and mobility management. Currently   he is working on mobility cost analysis in mobile networks.,"2 year post doctorate at Telecom Bretagne (Rennes Campus), IRISA, France in 2011/2012",
M.Zohaib Zafar Iqbal,FAST-NU(Islamabad),Computer Science,Capital,Associate Professor,PhD,University Of Oslo,Norway,2012,model-driven engineering   software testing   and empirical software engineering,NINGUNA,NINGUNA
Ehtesham Zahoor,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,Nancy 2 University,France,2011,Cloud Computing and Services Composition,NINGUNA,NINGUNA
Hammad Majeed,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,University of Limerick,Ireland,2007,Artificial Intelligence   Computational Intelligence   Machine Learning   Data Mining   Knowledge Discovery   Evolutionary Gaming   Machine Vision   Robotics.,NINGUNA,NINGUNA
Irum Inayat,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,University of Malaya,Malaysia,2015,agile software development methods   empirical software engineering   requirements engineering   wearable learning   and merger of artificial intelligence with software engineering,NINGUNA,NINGUNA
Labiba Fahad,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,MS,Ghulam Ishaq Khan Institute of Science and Technology,Pakistan,2007,SINF,NINGUNA,NINGUNA
Mirza Omer Baig,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,University Of Waterloo,Canada,2013,confluence of Green Computation  A†Compiler Optimizations  A†Memory Hierarchy Optimizations  A†Constraint Programming andA†Graph Theoretic Algorithms. During the last few years he has worked on several compiler optimization problems targeted towards low-end   power constrained processors. These include formalizing instruction scheduling for clustered architectures   memory hierarchy optimizations and code generation.,NINGUNA,NINGUNA
Muhammad Adnan Tariq,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,University of Stuttgart,germany,2013,Internet of Things (IoT)   mobile and pervasive computing   geo-distributed fog   cloud computing and Software-defined Networking (SDN) with focus on scalability   quality of service (QoS)   fault tolerance and security aspects,NINGUNA,NINGUNA
Muhammad Asim,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,Liverpool John Moores University,UK,2010,SINF,NINGUNA,NINGUNA
Sibt Ul Hussain,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PostDoc,University Of Caen,France,2013,A†visual recognition (object detection   image classification   face recognition   etc.)   machine learning and programming,NINGUNA,NINGUNA
Usman Farrokh Niaz,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,Paris Tech University of Eurecom,France,2014,Computer Vision   Machine Learning   Pattern Recognition and ImageVideo Retrieval.,NINGUNA,NINGUNA
Uzair Khan,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,"University of Nice, Sophia Antipolis",France,2011,Model Driven Software Engineering   in particular focusing on Model Transformations and Automated Model based Software Testing,NINGUNA,NINGUNA
Ali Nasir,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,University Of Salford,UK,2009,Management Information Systems   its security   Software Project Management   Human Computer interaction   and Supply Chain Management.,NINGUNA,NINGUNA
Atif Aftab Ahmed Jilani,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,MSc,Mohammad Ali Jinnah University,Pakistan,2008,Model Driven Architecture (MDA)   specifically MDA model transformation for generating Unified Modeling Language (UML) artifacts from legacy system design.,NINGUNA,NINGUNA
Hassan Mustafa,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,MS,Lahore University of Management Sciences,Pakistan,2014,Computer Programming   Software Engineering   and Artificial Intelligence,NINGUNA,NINGUNA
Jawwad Hassan Nisar,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,MS,FAST‚Äì National University of Computer and Emerging Sciences,Pakistan,2009,Computer Communications and Networks.,NINGUNA,NINGUNA
Mehreen Alam,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,MS,Lahore University of Management Sciences,Pakistan,2006,Traffic Analysis   Performance Evaluation   Theory of Computation and Professional Ethics.,NINGUNA,NINGUNA
Noor-Ul-Ain,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,MS,FAST‚Äì National University of Computer and Emerging Sciences,Pakistan,2009,A†Image Processing (particularly Medical Image processing)   Computer Vision   Machine Learning   and Bio Informatics.,NINGUNA,NINGUNA
