Teacher_Name,University_Currently_Teaching,Department,Province_University_Located,Designation,Terminal_Degree,Graduated_from,Country,Year,Area_of_Specialization,Other_Information,
SANIAH REHAN,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Sir Syed University of Engineering and Technology,Pakistan,0,SINF,NINGUNA,
PRIHA BHATTI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Sir Syed University of Engineering and Technology,Pakistan,0,SINF,NINGUNA,
RABIA SIDDIQUI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Sir Syed University of Engineering and Technology,Pakistan,0,SINF,NINGUNA,
DUR-E-SHAWAR AGHA,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Sir Syed University of Engineering and Technology,Pakistan,0,SINF,NINGUNA,
MEHWISH ARSALAN LODHI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Sir Syed University of Engineering and Technology,Pakistan,0,SINF,NINGUNA,
FARAH AHMED,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MSIT,"Biztek Institute Of Business & Technology,Karachi",Pakistan,0,SINF,NINGUNA,
SYED MUSLIM JAMEEL,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,M.E,Mehran University of Engineering & Technology,Pakistan,0,SINF,NINGUNA,
SANOBER SOOMRO,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Lecturer,MS,Sir Syed University of Engineering and Technology,Pakistan,0,SINF,NINGUNA,
Prof. Dr. Muhammad Shahab Siddiqui,Jinnah University for Women,Computer Science & IT,Sindh,Professor,Ph.D,Hamdard University,Pakistan,0,SINF,NINGUNA,
Prof. Dr. Abu Turrab Alam,Jinnah University for Women,Computer Science & IT,Sindh,Professor,Ph.D,University of Surrey,UK,0,SINF,NINGUNA,
Ms. Narmeen Zakaria Bawany (Chairperson),Jinnah University for Women,Computer Science & IT,Sindh,Associate Professor,ME,Sir Syed University of Engineering and Technology,Pakistan,0,SINF,NINGUNA,
Ms. Saima Amber,Jinnah University for Women,Computer Science & IT,Sindh,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,0,SINF,NINGUNA,
Ms. Samia Ghazala,Jinnah University for Women,Computer Science & IT,Sindh,Assistant Professor,ME,NED University of Engineering And Technology,Pakistan,0,SINF,NINGUNA,
Ms. Sadia Javed,Jinnah University for Women,Computer Science & IT,Sindh,Assistant Professor,ME,NED University of Engineering And Technology,Pakistan,0,SINF,NINGUNA,
Ms. Ramsha Ali,Jinnah University for Women,Computer Science & IT,Sindh,Assistant Professor,MS,PAF-Karachi Institute of Economics and Technology,Pakistan,0,SINF,NINGUNA,
Ms. Ummay Faseeha,Jinnah University for Women,Computer Science & IT,Sindh,Assistant Professor,ME,Hamdard University,Pakistan,0,SINF,NINGUNA,
Ms. Saba Mazhar,Jinnah University for Women,Computer Science & IT,Sindh,Assistant Professor,MBA,Institute of Business Administration,Pakistan,0,SINF,NINGUNA,
Ms. Sumaira Ahmed,Jinnah University for Women,Computer Science & IT,Sindh,Lecturer,BS,University of Karachi,Pakistan,0,SINF,NINGUNA,
Ms. Anum Hameed,Jinnah University for Women,Computer Science & IT,Sindh,Lecturer,BS,Jinnah University for Women,Pakistan,0,SINF,NINGUNA,
Ms. Hafiza Anisa Ahmed,Jinnah University for Women,Computer Science & IT,Sindh,Lecturer,BS,Jinnah University for Women,Pakistan,0,SINF,NINGUNA,
Ms. Syeda Anum Zamir,Jinnah University for Women,Computer Science & IT,Sindh,Lecturer,MSc,Jinnah University for Women,Pakistan,0,SINF,NINGUNA,
Ms. Javairia,Jinnah University for Women,Computer Science & IT,Sindh,Lecturer,BS,Jinnah University for Women,Pakistan,0,SINF,NINGUNA,
Ms. Farheen Mannan,Jinnah University for Women,Computer Science & IT,Sindh,Lecturer,MSSE,Sir Syed University of Engineering and Technology,Pakistan,0,SINF,NINGUNA,
Ms. Syeda Yousra Rizvi,Jinnah University for Women,Computer Science & IT,Sindh,Lecturer,BE,Mehran University of Engineering & Technology,Pakistan,0,SINF,NINGUNA,
Ms. Kanwal Zahoor,Jinnah University for Women,Computer Science & IT,Sindh,Lecturer,BS,Jinnah University for Women,Pakistan,0,SINF,NINGUNA,
Ms. Iqra Khalil,Jinnah University for Women,Computer Science & IT,Sindh,Lecturer,MCS,University of Karachi,Pakistan,0,SINF,NINGUNA,
¬†Ms. Humaira Meraj,Jinnah University for Women,Computer Science & IT,Sindh,Lecturer,MS,Sir Syed University of Engineering and Technology,Pakistan,0,SINF,NINGUNA,
Ms. Afreen Fatima,Jinnah University for Women,Computer Science & IT,Sindh,Lecturer,BS,Hamdard University,Pakistan,0,SINF,NINGUNA,
Ms. Tehreem Qamar,Jinnah University for Women,Computer Science & IT,Sindh,Lecturer,BS,Jinnah University for Women,Pakistan,0,SINF,NINGUNA,
Ms. Tehreem Hussain,Jinnah University for Women,Computer Science & IT,Sindh,Lecturer,BS,Jinnah University for Women,Pakistan,0,SINF,NINGUNA,
Ms. Farheen,Jinnah University for Women,Computer Science & IT,Sindh,Lecturer,MS,NED University of Engineering And Technology,Pakistan,0,SINF,NINGUNA,
¬†Ms. Kainat,Jinnah University for Women,Computer Science & IT,Sindh,Lecturer,BS,Jinnah University for Women,Pakistan,0,SINF,NINGUNA,
Muhammad Mobeen Movania¬†,DHA Suffa University,Computer Science,Sindh,Assistant Professor/HoD ,PhD,¬†Nanyang Technological University,Singapore,0,GPU based volume rendering   Biomedical imaging and visualization   Soft body simulations   Physically based animation   Physically based rendering   Cloth simulation   Augmented realityA†,NINGUNA,
¬†Hironao Takahashi¬†,DHA Suffa University,Computer Science,Sindh,Associate Professor,PhD,Tokyo Institute of Technology,Japan,0,Ontology-based Classification and Mind UploadingA†,NINGUNA,
Rauf A. S. Malick¬†,DHA Suffa University,Computer Science,Sindh,Assistant Professor,PhD,University of Karachi,Pakistan,0,Computational Biology    Big Data Analysis    Computational Social Science ,NINGUNA,
Syed Hammad Ahmed¬†,DHA Suffa University,Computer Science,Sindh,Assistant Professor,MS,Lahore University of Management Sciences,Pakistan,0,Big Data Analytics   Data Mining    Machine Learning    Human Computer Interaction ,NINGUNA,
Naila Shahzada¬†,DHA Suffa University,Computer Science,Sindh,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,0,Data Provenance    E-Commerce    Data WareHouse ,NINGUNA,
Twaha Ahmed Minai¬†,DHA Suffa University,Computer Science,Sindh,Assistant Professor,Mphil,University of Karachi,Pakistan,0, Bioinformatics    Biometrics    Social Computing ,NINGUNA,
Bilal Hayat,DHA Suffa University,Computer Science,Sindh,Assistant Professor,MS,Lahore University of Management Sciences,Pakistan,0,SINF,NINGUNA,
Tehniat Mirza¬†,DHA Suffa University,Computer Science,Sindh,Senior Lecturer,MS,PAF-Karachi Institute of Economics and Technology,Pakistan,0,SINF,NINGUNA,
Raazia Sosan¬†,DHA Suffa University,Computer Science,Sindh,Senior Lecturer,MS,Hamdard University,Pakistan,0,SINF,NINGUNA,
Aneela Nargis¬†,DHA Suffa University,Computer Science,Sindh,Senior Lecturer,MS,Hamdard University,Pakistan,0,SINF,NINGUNA,
Zubair uddin Shaikh¬†,DHA Suffa University,Computer Science,Sindh,Lecturer,BS,International Islamic University,Pakistan,0,Data Mining   Computer Architecture   Design and Analysis of AlgorithmsA†,NINGUNA,
Muhammad Khalid Khan,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Director,PhD,PAF-Karachi Institute of Economics and Technology,Pakistan,0,"Intelligent and Multi-Agent Systems  
Scheduling issues in Distributed Systems
Security and Management Issues in Next Generation Networks",NINGUNA,
Khurrum Nazeer Junejo,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,PhD,Lahore University of Management Sciences,Pakistan,0,Data   Text Mining   Machine Learning   Research Trends in Artificial Intelligence   Information Retrieval   Computability and Complexity   Graph Theory and Algorithms.,NINGUNA,
Maaz Bin Ahmad,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,PhD,Centre for Advanced Studies in Engineering,Pakistan,0,"Insider threats Detection
Risk Assessment   prevention
Efficient Video Processing Techniques
Cloud Computing",NINGUNA,
Muhammad Taha Jilani,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,PhD,Universiti Teknologi PETRONAS,Malaysia,0,"Internet of Things
Smart Sensors   Networks",NINGUNA,
Sohail Imran,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Permanent Faculty,MS,PAF-Karachi Institute of Economics and Technology,Pakistan,0,Big Data Analytics   Data Mining   Date warehousing,PhD in progress from PAK-KIEFT,
Kashif Bashir,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,MS,PAF-Karachi Institute of Economics and Technology,Pakistan,0,Networking   Telecommunication and Wireless ad-hoc Networks,PhD in progress from PAK-KIEFT,
Muhammad Affan Aleem,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,0,Image Processing   Pattern Recognition   Machine Learning,PhD in progress from PAK-KIEFT,
Mohammad Ayub Latif,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Faculty Member,MS,PAF-Karachi Institute of Economics and Technology,Pakistan,0,"Software Engineering
Use of software metrics for improving software processes
Social network analysis",PhD in progress from PAK-KIEFT,
Samrina Zameer,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,ME,NED University of Engineering And Technology,Pakistan,0,"Electronics
Computer Network",PhD in progress from NED,
Saad Rehman Shah,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Faculty Member,MS,NCSU,Pakistan,0,"Network Security
Technology in Education",NINGUNA,
Muhammad Zafer Iqbal Siddiqui,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Faculty Member,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,0,"Software Design
Software Testing",NINGUNA,
Urooj Waheed,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,MS,Institute of Business Administration,Pakistan,0,"Computer Organization and Architecture
Intelligent Systems
Human Computer Interaction
Computer Negtworks",NINGUNA,
Nadeem Qamar,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,MS,FAST‚Äì National University of Computer and Emerging Sciences,Pakistan,0,"Human Computer Interaction
Artificial Intelligence",NINGUNA,
Muhammad Naveed,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,MS,Usman Institute of Technology,Pakistan,0,WBAN (Wireless Body area Network)   Wireless Adhoc Network   Wireless Sensor Network,PhD in progress from PAK-KIEFT,
Tariq Saeed Tanoli,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Permanent Faculty,MS,PAF-Karachi Institute of Economics and Technology,Pakistan,0,Security   Computer Networks   Telecommunication Infrastructure   Wireless ad-hoc Networks   System Administration.,NINGUNA,
Hira Anwar Khan,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,MS,Institute of Business Administration,Pakistan,0,"Human Computer Interaction
User Experience
Interaction Design
Intelligent Systems",NINGUNA,
Muhammad Suleman,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,MS,"Hanyang University, Ansan",South Korea,0,"System Architect
Machine Learning
Big data
Network Security",NINGUNA,
Shah Muhammad Emaduddin,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,MS,Politecnico di Torino,Italy,0,Ubiquitous Computing   Wireless Networks,PhD in progress from PAK-KIEFT,
Adnan Ullah Khan,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,MS,NED University of Engineering And Technology,Pakistan,0,"Reports on  Census of Pakistan  1951  1961  1972  1981 and 1998
Demography Analysis of Pakistan
 Apply  PearsonAÄôs System of frequency Curve in different date set of PDF   PGS with complete programming in R   SAS

?",Visiting,
Waqas Azam,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,MBA,Mohammad Ali Jinnah University,Pakistan,0,Data Science   Predictive Analysis Based Decision Support System.,NINGUNA,
Fizza,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Permanent Faculty,MS,PAF-Karachi Institute of Economics and Technology,Pakistan,0,"Software Costing and Estimation
Software Quality
Big Data Analytics",NINGUNA,
Fawad Qureshi,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,BS,Purdue University,USA,0,SINF,NINGUNA,
¬†Syed Nabeel Ali,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,MS,NED University of Engineering And Technology,Pakistan,0,SINF,NINGUNA,
Hira Beenish,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,MSTN,BUKC,Pakistan,0,"MPLS on Satellite Communication
Wearable Body Area Networks
Network  Security",NINGUNA,
Abdul Wahab Khan,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,0,SINF,PhD in progress from PAK-KIEFT,
Sanjay Kumar,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,ME,NED University of Engineering And Technology,Pakistan,0,"Analog IC designing
Semicinductor devices",NINGUNA,
Urwah Lodhi,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,MS,NED University of Engineering And Technology,Pakistan,0,"Artificial Intelligence
Software Engineering",NINGUNA,
Solat Jabeen Sheikh,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Permanent Faculty,MS,NED University of Engineering And Technology,Pakistan,0,SINF,NINGUNA,
Muhammad Azam Khan,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Permanent Faculty,MSC,Universtiy of Karachi,Pakistan,0,SINF,MSSE in progress from PAK-KIEFT,
Rafi Ullah,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,BS,Hamdard University,Pakistan,0,"Theoretical Computer Science
Algorithm   Complexities

 ",NINGUNA,
Hasan Sardar,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Faculty Member,BS,PAF-Karachi Institute of Economics and Technology,Pakistan,0,"Information System Audit
Information Security
IT Governance
IT Risk Management
Telecommunication and Networking
Global IT Standards and Frameworks

 ",MS in progress from MAJU,
¬†Faisal Ahmed,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,M.Sc,Universtiy of Karachi,Pakistan,0,"Machine Learning
Intelligent Systems
Theoretical Computer Science
Algorithm   Complexities
Energy Systems
Robotics
Renewable Energy.",MS in progress from PAK-KIET,
Muhammad Zubair,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,BS,PAF-Karachi Institute of Economics and Technology,Pakistan,0,"Data   Text Mining
Machine Learning
Information Retrieval",MS in progress from PAK-KIET,
Abdul Hafeez Adam,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,BS,PAF-Karachi Institute of Economics and Technology,Pakistan,0,"Big Data Analysis
NoSQL Databases
Grid Computing
Data Mining",NINGUNA,
Amanullah Khan,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,BS,PAF-Karachi Institute of Economics and Technology,Pakistan,0,SINF,NINGUNA,
Ibraheem Hassan,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,BS,PAF-Karachi Institute of Economics and Technology,Pakistan,0,"Grid Computing
Data Mining",NINGUNA,
M Qasim Ashraf,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,BS,PAF-Karachi Institute of Economics and Technology,Pakistan,0,"Big Data Analysis
NoSQL Databases
Grid Computing
Data Mining",NINGUNA,
Rohit Hansrajani,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,BE,NED University of Engineering And Technology,Pakistan,0,A†Energy Systems,NINGUNA,
Roshan A. Shaikh,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Professor/Dean,Doctor of Professional Studies,"Pace University, New York",USA,0,SINF,NINGUNA,
Asim Imdad Wagan,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Associate Professor,PhD,"INSA de Lyon, Rhone",France,0,SINF,NINGUNA,
Shaukat Wasi,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Associate Professor/HoD,PhD,FAST‚Äì National University of Computer and Emerging Sciences,Pakistan,0,SINF,NINGUNA,
Khaliq-ur-Rahman Raazi,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Associate Professor/HoD,PhD,Kyung Hee University,South Korea,0,SINF,NINGUNA,
Kashif Ishaque,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Associate Professor,PhD,Universiti Teknologi PETRONAS,Malaysia,0,Modelling and simulation of grid-connected photovoltaic system   efficient battery charging devices for PV system   intelligent control   non-linear systems and exploitation of evolutionary algorithms such as genetic algorithm (GA)   particle swarm optimization (PSO) and differential evolution (DE) in engineering applications.,NINGUNA,
Haji Khan Soomro,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Professor,PhD,University of Dundee,UK,0,SINF,NINGUNA,
Syed Qutubuddin Ahmed,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,PhD,Illinois Institute of Technology,USA,0,SINF,NINGUNA,
Syed Asad Hussain,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,PhD,City University of Science and Technology,HongKong,2017,Building energy efficiency   data fusion   uncertainty analysis and robust control.,NINGUNA,
Asmat Ara,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,PhD,University of Karachi,Pakistan,0,SINF,NINGUNA,
Ahmer Umer,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,0,SINF,"PhD in progress from  Federal Urdu University of Arts, Science & Technology",
Aqeel Tahir,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,M.E,Usman Institute of Technology (Hamdard University),Pakistan,0,SINF,NINGUNA,
Aamir Shaikh,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,MSc,University of Karachi,Pakistan,0,SINF,NINGUNA,
Khalid Mahmood Dar,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,PhD,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,0,SINF,NINGUNA,
Muhammad Kashif Khan,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,0,Artificial Intelligence   Human Computer Interaction   Machine Learning   and Data Mining.,NINGUNA,
Nazish Nouman,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,MS,Jinnah University for Women,Pakistan,0,Human Computer Interactions  Semantic Web  Ubiquitous Computing,NINGUNA,
Waheed Uddin Hyder,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,PhD,University of Malaga,Spain,0,SINF,NINGUNA,
Muhammad Yaseen Khan,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Senior Lecturer,MS,PAF-Karachi Institute of Economics and Technology,Pakistan,0,Text Summarization   Machine Learning   Information Retrieval   Influence Mining   Affective Computing   Psychology and Computational Linguistics.,NINGUNA,
Fouzia Naz,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Lecturer,MS,Mohammad Ali Jinnah University,Pakistan,0,SINF,NINGUNA,
Ghulam Mujtaba,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Lecturer,MS,"International Islamic University,Islamabad",Pakistan,0,Mobile Computing   Human Computer Interaction and Mobile Game Development.,NINGUNA,
Hafiz Muhammad Sohaib Azhar,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Lecturer,M.E,NED University of Engineering And Technology,Pakistan,0,Telemedicine   Telematics   Optical-Laser Communication System   Satellite Communication   Micro wave [LOS] Communication System etc.,NINGUNA,
Moomal Turk,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Lecturer,M.E,Mehran University of Engineering & Technology,Pakistan,0,SINF,NINGUNA,
Syed Imran Ali,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Lecturer,MS,Mohammad Ali Jinnah University,Pakistan,0,SINF,NINGUNA,
Waqar Saleem,Habib University,Computer Science,Sindh,Assistant Professor,PhD,Max Planck Institute for Computer Science,germany,0,Digital processing and management tools for 2D and 3D shape repositories; geometric modeling; data structures; advanced programming; algorithm analysis; digital computer logic; computer architecture; linear algebra; discrete mathematics.,NINGUNA,
Shah Jamal Alam,Habib University,Computer Science,Sindh,Assistant Professor/Director,PhD,Manchester Metropolitan University,UK,0,Social network analysis  Land use change  Climate change adaptation  Infectious disease transmission  Social anthropology,NINGUNA,
Umair Azfar Khan,Habib University,Computer Science,Sindh,Assistant Professor,PhD,"Kyushu University,Fukuoka",Japan,0,Artificial Intelligence and Planning Graphs,NINGUNA,
Syeda Saleha Raza,Habib University,Computer Science,Sindh,Assistant Professor,PhD,"Institute of Business Administration,Karachi",Pakistan,0,Robotics   Machine Learning   Probabilistic Reasoning and Computational Intelligence,NINGUNA,
Shahid Hussain,Habib University,Computer Science,Sindh,Assistant Professor,PhD,King Abdullah University of Science and Technology,Saudi Arabia,0,design and analysis of efficient algorithms   graph theory   discrete and combinatorial optimization   and machine learningdata mining.,NINGUNA,
Taj Muhammad Khan,Habib University,Computer Science,Sindh,Assistant Professor,PhD,INRIA Saclay Ile-de-France,France,0,Computer Architecture   Compiler Optimizations and Natural Languages,NINGUNA,
Dost Muhammad Khan,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,PhD,University of Technology,Mauritius,0,RDBMS   Distributed Systems   Multi-Agent System (MAS)   Data Minning and Data Minning Techniques.,NINGUNA,
Waqar Aslam,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,PhD,Eindhoven University of Technology (TU/e),Netherland,0,SINF,HEC Approved Supervisor,
Malik Muhammad Saad Missen,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,PostDoc,Universit√© de la Rochelle,France,2015,Information RetrievalProcessing  Web Usability Engineering  Software Quality Assurance,NINGUNA,
Mamoona Naveed Asghar,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,PhD,University of Essex,UK,0,Research interests include the security aspects of multimedia (Audio and Video)   Compression   Encryption   Steganography   Secure transmission and the Key management schemes for standard and scalable video.,NINGUNA,
Imran Sarwar Bajwa,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,PhD,University of Birmingham,UK,0,Natural Language Processing   Automated Software Engineering   Image Processing   Machine Translation,HEC Approved Supervisor,
Nadeem Akhtar,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,PhD,University of South Brittany,France,0,Formal software engineering   Software architecture   Multi-agent robotics,HEC Approved Supervisor,
Mujtaba Husnain,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,MSCS,University of Management and Technology,Pakistan,2006,SINF,On Study Leave,
Muhammad Ateeq,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,MSCS,"COMSATS Institute of Information Technology,Wah Cantt",Pakistan,0, Computer Networks,NINGUNA,
Waheed Anwer,Islamia University Bhawalpur,Computer Science & IT,Punjab,Lecturer,MCS,The Islamia University of Bahawalpur ,Pakistan,2004, Programming   Networking,NINGUNA,
Saima Abdullah,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,PhD,University of Essex,UK,0,Wireless sensor networks. Internet of things(IoT)   Scheduling patterns of sensor messages   Node failures management   QoS aware message scheduling,NINGUNA,
Muhammad Omar,Islamia University Bhawalpur,Computer Science & IT,Punjab,Lecturer,MSCS,University of Engineering and Technology,Pakistan,2006,SINF,On Study Leave,
Shahzad Mumtaz,Islamia University Bhawalpur,Computer Science & IT,Punjab,Lecturer,PhD,"Aston University, Birmingham",UK,0,Machine LearningData ScienceData MiningStatistical Pattern Analysis in general but with a particular interest in probabilistic approaches of high-dimensional data projection approaches and their use in answering questions related to biological problems related to protein analytics   patient specific analytics etc.,NINGUNA,
Nazir Ahmad,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,MSCS,University of Agriculture Faisalabad,Pakistan,2011,SINF,NINGUNA,
Mehdi Hassan,University of Chakwal,Computer Science,Punjab,Assistant Professor,PhD,Pakistan Institute of Engineering and Applied Sciences,Pakistan,0,Machine Learning,NINGUNA,
Imran Faizi,University of Chakwal,Computer Science,Punjab,Lecturer,M.Phil,"University of Engineering and Technology,Taxila",Pakistan,0,Data Mining and Network Programming,PhD in progress,
Farooq Bilal,University of Chakwal,Computer Science,Punjab,Lecturer,M.Phil,"University of Engineering and Technology,Taxila",Pakistan,0,Wireless Sensor Network,PhD in progress,
Imran Ullah,University of Chakwal,Computer Science,Punjab,Lecturer,M.Phil,Centre for Advanced Studies in Engineering,Pakistan,0,Computer Networks,NINGUNA,
Muhammad Kashif Hanif,Government College University Faisalabad,Computer Science,Punjab,Assistant Professor,PhD,Hamburg University of Technology,germany,2014,SINF,NINGUNA,
Sami Ullah,Government College University Faisalabad,Computer Science,Punjab,Assistant Professor,MS,"University of Agriculture, Faisalabad",Pakistan,0,SINF,NINGUNA,
Sh. Muhammad Aamir,Government College University Faisalabad,Computer Science,Punjab,Lecturer,MS,"Government College University, Faisalabad",Pakistan,0,SINF,NINGUNA,
Muhammad Irfan Khan,Government College University Faisalabad,Computer Science,Punjab,Lecturer,MS,"University of Agriculture, Faisalabad",Pakistan,0,SINF,NINGUNA,
Tahir Abdullah,Government College University Faisalabad,Computer Science,Punjab,Lecturer,MS,University of the Punjab,Pakistan,0,SINF,NINGUNA,
Rao Sohail Iqbal Asif,Government College University Faisalabad,Computer Science,Punjab,Lecturer,MS,University of Central Punjab,Pakistan,0,SINF,NINGUNA,
Nafees Ayub,Government College University Faisalabad,Computer Science,Punjab,Lecturer,MS,"Government College University, Faisalabad",Pakistan,0,SINF,NINGUNA,
Asma Sajid,Government College University Faisalabad,Computer Science,Punjab,Lecturer,MS,National University of Sciences and Technology,Pakistan,2013,SINF,NINGUNA,
Uzma Jamil,Government College University Faisalabad,Computer Science,Punjab,Lecturer,PhD,"Bahria University,Islamabad",Pakistan,2017,SINF,NINGUNA,
Muhammad Aater Javed,Government College University Faisalabad,Computer Science,Punjab,Lab Engineer,MS,"University of Agriculture, Faisalabad",Pakistan,0,SINF,NINGUNA,
Waqar Ahmad,"National Textile University,Faisalabad",Computer Science,Punjab,Assistant Professor/Chairman,MSCS,Blekinge Institute of Technology,Sweden,2010,Data Mining with emphasis of big data analytics   Machine Learning   Applications of Machine learning and data mining   Decision support system   Applications of machine learning in health sciences,NINGUNA,
